,week,home,away,goal1,goal2,result,home_form,away_form,home_rank,away_rank
173,18,GALATASARAY,GENÇLERBİRLİĞİ,6,0,1,1.4,1.6,5,16
174,18,KARAGÜMRÜK,KONYASPOR,2,1,1,1,1.4,9,8
175,18,ANKARAGÜCÜ,BAŞAKŞEHİR,1,2,2,1.4,1,18,15
176,18,RİZESPOR,DENİZLİSPOR,1,1,0,1,1.4,12,19
177,18,HATAYSPOR,BEŞİKTAŞ,2,2,0,1.8,3,6,1
178,18,ERZURUMSPOR,FENERBAHÇE,0,3,2,0.8,2.25,21,2
179,18,ALANYASPOR,KASIMPAŞA,1,2,2,0.8,0.25,4,17
180,19,GENÇLERBİRLİĞİ,KARAGÜMRÜK,1,3,2,1.4,1,17,8
181,19,KONYASPOR,GÖZTEPE,2,3,2,1.4,0.25,10,16
182,19,BAŞAKŞEHİR,SİVASSPOR,1,1,0,1.4,1.6,12,11
183,19,GAZİANTEP,KAYSERİSPOR,2,1,1,2,1.2,4,18
184,19,ANTALYASPOR,TRABZONSPOR,1,1,0,1.4,2.25,9,7
185,19,DENİZLİSPOR,HATAYSPOR,0,2,2,1,1.4,20,6
186,19,MALATYASPOR,RİZESPOR,4,1,1,0.4,1.2,14,15
187,19,BEŞİKTAŞ,GALATASARAY,2,0,1,2.6,2,1,3
188,19,KASIMPAŞA,ERZURUMSPOR,1,2,2,1,0.8,13,21
189,19,FENERBAHÇE,ANKARAGÜCÜ,3,1,1,3,1.2,2,19
190,20,KAYSERİSPOR,BAŞAKŞEHİR,2,0,1,1.2,1.6,18,12
191,20,GÖZTEPE,GENÇLERBİRLİĞİ,4,0,1,1,1.4,14,17
192,20,TRABZONSPOR,KONYASPOR,3,1,1,1.75,0.8,8,13
193,20,RİZESPOR,GAZİANTEP,3,0,1,0.6,2,16,3
194,20,HATAYSPOR,MALATYASPOR,1,2,2,2,0.8,5,10
195,20,GALATASARAY,DENİZLİSPOR,6,1,1,1.4,0.4,4,21
196,20,ERZURUMSPOR,ALANYASPOR,1,1,0,1.4,0.75,19,6
197,20,KARAGÜMRÜK,BEŞİKTAŞ,1,4,2,1.4,2.6,7,1
198,20,ANKARAGÜCÜ,KASIMPAŞA,1,0,1,1.2,1,20,15
199,20,SİVASSPOR,FENERBAHÇE,1,1,0,1.2,3,11,2
200,21,GENÇLERBİRLİĞİ,TRABZONSPOR,1,2,2,0.8,2.5,18,7
201,21,BAŞAKŞEHİR,RİZESPOR,1,1,0,1.4,1,14,13
202,21,KONYASPOR,ANTALYASPOR,0,0,0,0.6,2,15,11
203,21,MALATYASPOR,GALATASARAY,0,1,2,1.4,1.4,9,3
204,21,DENİZLİSPOR,KARAGÜMRÜK,1,2,2,0.4,1.2,21,8
205,21,GAZİANTEP,HATAYSPOR,1,1,0,1.4,1.4,4,6
